Confirmed,Country,Date,Deaths,Recovered
14.0,Thailand,01-29-2020,0.0,5.0
5.0,United States,01-29-2020,0.0,0.0
4.0,United Arab Emirates,01-29-2020,0.0,0.0
2.0,Vietnam,01-29-2020,0.0,0.0
9.0,Australia,01-30-2020,0.0,2.0
1.0,Cambodia,01-30-2020,0.0,0.0
3.0,Canada,01-30-2020,0.0,0.0
1.0,Finland,01-30-2020,0.0,0.0
5.0,France,01-30-2020,0.0,0.0
4.0,Germany,01-30-2020,0.0,0.0
10.0,Hong Kong,01-30-2020,0.0,0.0
1.0,India,01-30-2020,0.0,0.0
11.0,Japan,01-30-2020,0.0,1.0
7.0,Macau,01-30-2020,0.0,0.0
8124.0,China,01-30-2020,171.0,135.0
8.0,Malaysia,01-30-2020,0.0,0.0
1.0,Nepal,01-30-2020,0.0,0.0
1.0,Philippines,01-30-2020,0.0,0.0
10.0,Singapore,01-30-2020,0.0,0.0
4.0,South Korea,01-30-2020,0.0,0.0
1.0,Sri Lanka,01-30-2020,0.0,0.0
9.0,Taiwan,01-30-2020,0.0,0.0
14.0,Thailand,01-30-2020,0.0,5.0
5.0,United States,01-30-2020,0.0,0.0
4.0,United Arab Emirates,01-30-2020,0.0,0.0
2.0,Vietnam,01-30-2020,0.0,0.0
9.0,Australia,01-31-2020,0.0,2.0
1.0,Cambodia,01-31-2020,0.0,0.0
3.0,Canada,01-31-2020,0.0,0.0
1.0,Finland,01-31-2020,0.0,0.0
5.0,France,01-31-2020,0.0,0.0
5.0,Germany,01-31-2020,0.0,0.0
12.0,Hong Kong,01-31-2020,0.0,0.0
1.0,India,01-31-2020,0.0,0.0
2.0,Italy,01-31-2020,0.0,0.0
15.0,Japan,01-31-2020,0.0,1.0
7.0,Macau,01-31-2020,0.0,0.0
9783.0,China,01-31-2020,213.0,214.0
8.0,Malaysia,01-31-2020,0.0,0.0
1.0,Nepal,01-31-2020,0.0,0.0
1.0,Philippines,01-31-2020,0.0,0.0
2.0,Russia,01-31-2020,0.0,0.0
13.0,Singapore,01-31-2020,0.0,0.0
11.0,South Korea,01-31-2020,0.0,0.0
1.0,Sri Lanka,01-31-2020,0.0,0.0
1.0,Sweden,01-31-2020,0.0,0.0
10.0,Taiwan,01-31-2020,0.0,0.0
19.0,Thailand,01-31-2020,0.0,5.0
2.0,United Kingdom,01-31-2020,0.0,0.0
6.0,United States,01-31-2020,0.0,0.0
4.0,United Arab Emirates,01-31-2020,0.0,0.0
2.0,Vietnam,01-31-2020,0.0,0.0
12.0,Australia,02-01-2020,0.0,2.0
1.0,Cambodia,02-01-2020,0.0,0.0
4.0,Canada,02-01-2020,0.0,0.0
1.0,Finland,02-01-2020,0.0,0.0
6.0,France,02-01-2020,0.0,0.0
8.0,Germany,02-01-2020,0.0,0.0
13.0,Hong Kong,02-01-2020,0.0,0.0
1.0,India,02-01-2020,0.0,0.0
2.0,Italy,02-01-2020,0.0,0.0
20.0,Japan,02-01-2020,0.0,1.0
7.0,Macau,02-01-2020,0.0,0.0
11871.0,China,02-01-2020,259.0,275.0
8.0,Malaysia,02-01-2020,0.0,0.0
1.0,Nepal,02-01-2020,0.0,0.0
1.0,Philippines,02-01-2020,0.0,0.0
2.0,Russia,02-01-2020,0.0,0.0
16.0,Singapore,02-01-2020,0.0,0.0
12.0,South Korea,02-01-2020,0.0,0.0
1.0,Spain,02-01-2020,0.0,0.0
1.0,Sri Lanka,02-01-2020,0.0,0.0
1.0,Sweden,02-01-2020,0.0,0.0
10.0,Taiwan,02-01-2020,0.0,0.0
19.0,Thailand,02-01-2020,0.0,5.0
2.0,United Kingdom,02-01-2020,0.0,0.0
8.0,United States,02-01-2020,0.0,0.0
4.0,United Arab Emirates,02-01-2020,0.0,0.0
6.0,Vietnam,02-01-2020,0.0,1.0
12.0,Australia,02-02-2020,0.0,2.0
1.0,Cambodia,02-02-2020,0.0,0.0
4.0,Canada,02-02-2020,0.0,0.0
1.0,Finland,02-02-2020,0.0,0.0
6.0,France,02-02-2020,0.0,0.0
10.0,Germany,02-02-2020,0.0,0.0
15.0,Hong Kong,02-02-2020,0.0,0.0
2.0,India,02-02-2020,0.0,0.0
2.0,Italy,02-02-2020,0.0,0.0
20.0,Japan,02-02-2020,0.0,1.0
8.0,Macau,02-02-2020,0.0,0.0
16607.0,China,02-02-2020,361.0,463.0
8.0,Malaysia,02-02-2020,0.0,0.0
1.0,Nepal,02-02-2020,0.0,0.0
2.0,Philippines,02-02-2020,1.0,0.0
2.0,Russia,02-02-2020,0.0,0.0
18.0,Singapore,02-02-2020,0.0,0.0
15.0,South Korea,02-02-2020,0.0,0.0
1.0,Spain,02-02-2020,0.0,0.0
1.0,Sri Lanka,02-02-2020,0.0,0.0
1.0,Sweden,02-02-2020,0.0,0.0
10.0,Taiwan,02-02-2020,0.0,0.0
19.0,Thailand,02-02-2020,0.0,5.0
2.0,United Kingdom,02-02-2020,0.0,0.0
8.0,United States,02-02-2020,0.0,0.0
5.0,United Arab Emirates,02-02-2020,0.0,0.0
6.0,Vietnam,02-02-2020,0.0,1.0
12.0,Australia,02-03-2020,0.0,2.0
1.0,Cambodia,02-03-2020,0.0,0.0
4.0,Canada,02-03-2020,0.0,0.0
1.0,Finland,02-03-2020,0.0,0.0
6.0,France,02-03-2020,0.0,0.0
12.0,Germany,02-03-2020,0.0,0.0
15.0,Hong Kong,02-03-2020,0.0,0.0
3.0,India,02-03-2020,0.0,0.0
2.0,Italy,02-03-2020,0.0,0.0
20.0,Japan,02-03-2020,0.0,1.0
8.0,Macau,02-03-2020,0.0,0.0
19693.0,China,02-03-2020,425.0,614.0
8.0,Malaysia,02-03-2020,0.0,0.0
1.0,Nepal,02-03-2020,0.0,0.0
2.0,Philippines,02-03-2020,1.0,0.0
2.0,Russia,02-03-2020,0.0,0.0
18.0,Singapore,02-03-2020,0.0,0.0
15.0,South Korea,02-03-2020,0.0,0.0
1.0,Spain,02-03-2020,0.0,0.0
1.0,Sri Lanka,02-03-2020,0.0,0.0
1.0,Sweden,02-03-2020,0.0,0.0
10.0,Taiwan,02-03-2020,0.0,0.0
19.0,Thailand,02-03-2020,0.0,5.0
2.0,United Kingdom,02-03-2020,0.0,0.0
11.0,United States,02-03-2020,0.0,0.0
5.0,United Arab Emirates,02-03-2020,0.0,0.0
8.0,Vietnam,02-03-2020,0.0,1.0
13.0,Australia,02-04-2020,0.0,2.0
1.0,Belgium,02-04-2020,0.0,0.0
1.0,Cambodia,02-04-2020,0.0,0.0
4.0,Canada,02-04-2020,0.0,0.0
1.0,Finland,02-04-2020,0.0,0.0
6.0,France,02-04-2020,0.0,0.0
12.0,Germany,02-04-2020,0.0,0.0
17.0,Hong Kong,02-04-2020,1.0,0.0
3.0,India,02-04-2020,0.0,0.0
2.0,Italy,02-04-2020,0.0,0.0
22.0,Japan,02-04-2020,0.0,1.0
10.0,Macau,02-04-2020,0.0,0.0
23680.0,China,02-04-2020,490.0,843.0
10.0,Malaysia,02-04-2020,0.0,0.0
1.0,Nepal,02-04-2020,0.0,0.0
2.0,Philippines,02-04-2020,1.0,0.0
2.0,Russia,02-04-2020,0.0,0.0
24.0,Singapore,02-04-2020,0.0,0.0
16.0,South Korea,02-04-2020,0.0,0.0
1.0,Spain,02-04-2020,0.0,0.0
1.0,Sri Lanka,02-04-2020,0.0,0.0
1.0,Sweden,02-04-2020,0.0,0.0
11.0,Taiwan,02-04-2020,0.0,0.0
25.0,Thailand,02-04-2020,0.0,5.0
2.0,United Kingdom,02-04-2020,0.0,0.0
11.0,United States,02-04-2020,0.0,0.0
5.0,United Arab Emirates,02-04-2020,0.0,0.0
8.0,Vietnam,02-04-2020,0.0,1.0
13.0,Australia,02-05-2020,0.0,2.0
1.0,Belgium,02-05-2020,0.0,0.0
1.0,Cambodia,02-05-2020,0.0,0.0
5.0,Canada,02-05-2020,0.0,0.0
1.0,Finland,02-05-2020,0.0,0.0
6.0,France,02-05-2020,0.0,0.0
12.0,Germany,02-05-2020,0.0,0.0
21.0,Hong Kong,02-05-2020,1.0,0.0
3.0,India,02-05-2020,0.0,0.0
2.0,Italy,02-05-2020,0.0,0.0
22.0,Japan,02-05-2020,0.0,1.0
10.0,Macau,02-05-2020,0.0,0.0
27409.0,China,02-05-2020,562.0,1115.0
12.0,Malaysia,02-05-2020,0.0,0.0
1.0,Nepal,02-05-2020,0.0,0.0
2.0,Philippines,02-05-2020,1.0,0.0
2.0,Russia,02-05-2020,0.0,0.0
28.0,Singapore,02-05-2020,0.0,0.0
19.0,South Korea,02-05-2020,0.0,0.0
1.0,Spain,02-05-2020,0.0,0.0
1.0,Sri Lanka,02-05-2020,0.0,0.0
1.0,Sweden,02-05-2020,0.0,0.0
11.0,Taiwan,02-05-2020,0.0,0.0
25.0,Thailand,02-05-2020,0.0,5.0
2.0,United Kingdom,02-05-2020,0.0,0.0
12.0,United States,02-05-2020,0.0,0.0
5.0,United Arab Emirates,02-05-2020,0.0,0.0
8.0,Vietnam,02-05-2020,0.0,1.0
14.0,Australia,02-06-2020,0.0,2.0
1.0,Belgium,02-06-2020,0.0,0.0
1.0,Cambodia,02-06-2020,0.0,0.0
5.0,Canada,02-06-2020,0.0,0.0
1.0,Finland,02-06-2020,0.0,0.0
6.0,France,02-06-2020,0.0,0.0
12.0,Germany,02-06-2020,0.0,0.0
24.0,Hong Kong,02-06-2020,1.0,0.0
3.0,India,02-06-2020,0.0,0.0
2.0,Italy,02-06-2020,0.0,0.0
45.0,Japan,02-06-2020,0.0,1.0
10.0,Macau,02-06-2020,0.0,1.0
30553.0,China,02-06-2020,632.0,1476.0
12.0,Malaysia,02-06-2020,0.0,0.0
1.0,Nepal,02-06-2020,0.0,0.0
2.0,Philippines,02-06-2020,1.0,0.0
2.0,Russia,02-06-2020,0.0,0.0
28.0,Singapore,02-06-2020,0.0,0.0
23.0,South Korea,02-06-2020,0.0,0.0
1.0,Spain,02-06-2020,0.0,0.0
1.0,Sri Lanka,02-06-2020,0.0,0.0
1.0,Sweden,02-06-2020,0.0,0.0
16.0,Taiwan,02-06-2020,0.0,1.0
25.0,Thailand,02-06-2020,0.0,5.0
2.0,United Kingdom,02-06-2020,0.0,0.0
12.0,United States,02-06-2020,0.0,0.0
5.0,United Arab Emirates,02-06-2020,0.0,0.0
10.0,Vietnam,02-06-2020,0.0,1.0
15.0,Australia,02-07-2020,0.0,2.0
1.0,Belgium,02-07-2020,0.0,0.0
1.0,Cambodia,02-07-2020,0.0,0.0
7.0,Canada,02-07-2020,0.0,0.0
1.0,Finland,02-07-2020,0.0,0.0
6.0,France,02-07-2020,0.0,0.0
13.0,Germany,02-07-2020,0.0,0.0
25.0,Hong Kong,02-07-2020,1.0,0.0
3.0,India,02-07-2020,0.0,0.0
3.0,Italy,02-07-2020,0.0,0.0
25.0,Japan,02-07-2020,0.0,1.0
10.0,Macau,02-07-2020,0.0,1.0
34075.0,China,02-07-2020,717.0,1998.0
12.0,Malaysia,02-07-2020,0.0,1.0
1.0,Nepal,02-07-2020,0.0,0.0
3.0,Philippines,02-07-2020,1.0,0.0
2.0,Russia,02-07-2020,0.0,0.0
30.0,Singapore,02-07-2020,0.0,0.0
24.0,South Korea,02-07-2020,0.0,1.0
1.0,Spain,02-07-2020,0.0,0.0
1.0,Sri Lanka,02-07-2020,0.0,0.0
1.0,Sweden,02-07-2020,0.0,0.0
16.0,Taiwan,02-07-2020,0.0,1.0
25.0,Thailand,02-07-2020,0.0,5.0
3.0,United Kingdom,02-07-2020,0.0,0.0
12.0,United States,02-07-2020,0.0,0.0
5.0,United Arab Emirates,02-07-2020,0.0,0.0
10.0,Vietnam,02-07-2020,0.0,1.0
15.0,Australia,02-08-2020,0.0,2.0
1.0,Belgium,02-08-2020,0.0,0.0
1.0,Cambodia,02-08-2020,0.0,0.0
7.0,Canada,02-08-2020,0.0,0.0
1.0,Finland,02-08-2020,0.0,0.0
11.0,France,02-08-2020,0.0,0.0
13.0,Germany,02-08-2020,0.0,0.0
26.0,Hong Kong,02-08-2020,1.0,0.0
3.0,India,02-08-2020,0.0,0.0
3.0,Italy,02-08-2020,0.0,0.0
25.0,Japan,02-08-2020,0.0,1.0
10.0,Macau,02-08-2020,0.0,1.0
36778.0,China,02-08-2020,804.0,2595.0
16.0,Malaysia,02-08-2020,0.0,1.0
1.0,Nepal,02-08-2020,0.0,0.0
3.0,Philippines,02-08-2020,1.0,0.0
2.0,Russia,02-08-2020,0.0,0.0
33.0,Singapore,02-08-2020,0.0,2.0
24.0,South Korea,02-08-2020,0.0,1.0
1.0,Spain,02-08-2020,0.0,0.0
1.0,Sri Lanka,02-08-2020,0.0,1.0
1.0,Sweden,02-08-2020,0.0,0.0
17.0,Taiwan,02-08-2020,0.0,1.0
32.0,Thailand,02-08-2020,0.0,10.0
3.0,United Kingdom,02-08-2020,0.0,0.0
12.0,United States,02-08-2020,0.0,0.0
7.0,United Arab Emirates,02-08-2020,0.0,0.0
13.0,Vietnam,02-08-2020,0.0,1.0
15.0,Australia,02-09-2020,0.0,2.0
1.0,Belgium,02-09-2020,0.0,0.0
1.0,Cambodia,02-09-2020,0.0,0.0
7.0,Canada,02-09-2020,0.0,0.0
1.0,Finland,02-09-2020,0.0,0.0
11.0,France,02-09-2020,0.0,0.0
14.0,Germany,02-09-2020,0.0,0.0
29.0,Hong Kong,02-09-2020,1.0,0.0
3.0,India,02-09-2020,0.0,0.0
3.0,Italy,02-09-2020,0.0,0.0
26.0,Japan,02-09-2020,0.0,1.0
10.0,Macau,02-09-2020,0.0,1.0
39790.0,China,02-09-2020,904.0,3218.0
16.0,Malaysia,02-09-2020,0.0,1.0
1.0,Nepal,02-09-2020,0.0,0.0
3.0,Philippines,02-09-2020,1.0,0.0
2.0,Russia,02-09-2020,0.0,0.0
40.0,Singapore,02-09-2020,0.0,2.0
25.0,South Korea,02-09-2020,0.0,3.0
2.0,Spain,02-09-2020,0.0,0.0
1.0,Sri Lanka,02-09-2020,0.0,1.0
1.0,Sweden,02-09-2020,0.0,0.0
18.0,Taiwan,02-09-2020,0.0,1.0
32.0,Thailand,02-09-2020,0.0,10.0
3.0,United Kingdom,02-09-2020,0.0,0.0
12.0,United States,02-09-2020,0.0,3.0
7.0,United Arab Emirates,02-09-2020,0.0,0.0
13.0,Vietnam,02-09-2020,0.0,1.0
15.0,Australia,02-10-2020,0.0,2.0
1.0,Belgium,02-10-2020,0.0,0.0
1.0,Cambodia,02-10-2020,0.0,0.0
7.0,Canada,02-10-2020,0.0,0.0
1.0,Finland,02-10-2020,0.0,0.0
11.0,France,02-10-2020,0.0,0.0
14.0,Germany,02-10-2020,0.0,0.0
38.0,Hong Kong,02-10-2020,1.0,0.0
3.0,India,02-10-2020,0.0,0.0
3.0,Italy,02-10-2020,0.0,0.0
26.0,Japan,02-10-2020,0.0,4.0
10.0,Macau,02-10-2020,0.0,1.0
42306.0,China,02-10-2020,1011.0,3917.0
18.0,Malaysia,02-10-2020,0.0,1.0
1.0,Nepal,02-10-2020,0.0,0.0
3.0,Philippines,02-10-2020,1.0,0.0
2.0,Russia,02-10-2020,0.0,0.0
45.0,Singapore,02-10-2020,0.0,2.0
27.0,South Korea,02-10-2020,0.0,3.0
2.0,Spain,02-10-2020,0.0,0.0
1.0,Sri Lanka,02-10-2020,0.0,1.0
1.0,Sweden,02-10-2020,0.0,0.0
18.0,Taiwan,02-10-2020,0.0,1.0
32.0,Thailand,02-10-2020,0.0,10.0
8.0,United Kingdom,02-10-2020,0.0,0.0
12.0,United States,02-10-2020,0.0,3.0
8.0,United Arab Emirates,02-10-2020,0.0,0.0
14.0,Vietnam,02-10-2020,0.0,1.0
15.0,Australia,02-11-2020,0.0,2.0
1.0,Belgium,02-11-2020,0.0,0.0
1.0,Cambodia,02-11-2020,0.0,0.0
7.0,Canada,02-11-2020,0.0,0.0
1.0,Finland,02-11-2020,0.0,0.0
11.0,France,02-11-2020,0.0,0.0
16.0,Germany,02-11-2020,0.0,0.0
49.0,Hong Kong,02-11-2020,1.0,0.0
3.0,India,02-11-2020,0.0,0.0
3.0,Italy,02-11-2020,0.0,0.0
26.0,Japan,02-11-2020,0.0,9.0
10.0,Macau,02-11-2020,0.0,1.0
44327.0,China,02-11-2020,1111.0,4635.0
18.0,Malaysia,02-11-2020,0.0,3.0
1.0,Nepal,02-11-2020,0.0,0.0
3.0,Philippines,02-11-2020,1.0,0.0
2.0,Russia,02-11-2020,0.0,0.0
47.0,Singapore,02-11-2020,0.0,9.0
28.0,South Korea,02-11-2020,0.0,3.0
2.0,Spain,02-11-2020,0.0,0.0
1.0,Sri Lanka,02-11-2020,0.0,1.0
1.0,Sweden,02-11-2020,0.0,0.0
18.0,Taiwan,02-11-2020,0.0,1.0
33.0,Thailand,02-11-2020,0.0,10.0
8.0,United Kingdom,02-11-2020,0.0,0.0
13.0,United States,02-11-2020,0.0,3.0
8.0,United Arab Emirates,02-11-2020,0.0,0.0
15.0,Vietnam,02-11-2020,0.0,6.0
15.0,Australia,02-12-2020,0.0,2.0
1.0,Belgium,02-12-2020,0.0,0.0
1.0,Cambodia,02-12-2020,0.0,1.0
7.0,Canada,02-12-2020,0.0,1.0
1.0,Finland,02-12-2020,0.0,1.0
11.0,France,02-12-2020,0.0,2.0
16.0,Germany,02-12-2020,0.0,0.0
50.0,Hong Kong,02-12-2020,1.0,1.0
3.0,India,02-12-2020,0.0,0.0
3.0,Italy,02-12-2020,0.0,0.0
28.0,Japan,02-12-2020,0.0,9.0
10.0,Macau,02-12-2020,0.0,2.0
44699.0,China,02-12-2020,1116.0,5079.0
18.0,Malaysia,02-12-2020,0.0,3.0
1.0,Nepal,02-12-2020,0.0,1.0
3.0,Philippines,02-12-2020,1.0,1.0
2.0,Russia,02-12-2020,0.0,2.0
50.0,Singapore,02-12-2020,0.0,15.0
28.0,South Korea,02-12-2020,0.0,7.0
2.0,Spain,02-12-2020,0.0,0.0
1.0,Sri Lanka,02-12-2020,0.0,1.0
1.0,Sweden,02-12-2020,0.0,0.0
18.0,Taiwan,02-12-2020,0.0,1.0
33.0,Thailand,02-12-2020,0.0,10.0
9.0,United Kingdom,02-12-2020,0.0,1.0
13.0,United States,02-12-2020,0.0,3.0
8.0,United Arab Emirates,02-12-2020,0.0,1.0
15.0,Vietnam,02-12-2020,0.0,6.0
15.0,Australia,02-13-2020,0.0,8.0
1.0,Belgium,02-13-2020,0.0,0.0
1.0,Cambodia,02-13-2020,0.0,1.0
7.0,Canada,02-13-2020,0.0,1.0
1.0,Finland,02-13-2020,0.0,1.0
11.0,France,02-13-2020,0.0,2.0
16.0,Germany,02-13-2020,0.0,1.0
53.0,Hong Kong,02-13-2020,1.0,1.0
3.0,India,02-13-2020,0.0,0.0
3.0,Italy,02-13-2020,0.0,0.0
28.0,Japan,02-13-2020,1.0,9.0
10.0,Macau,02-13-2020,0.0,3.0
59832.0,China,02-13-2020,1368.0,6213.0
19.0,Malaysia,02-13-2020,0.0,3.0
1.0,Nepal,02-13-2020,0.0,1.0
3.0,Philippines,02-13-2020,1.0,1.0
2.0,Russia,02-13-2020,0.0,2.0
58.0,Singapore,02-13-2020,0.0,15.0
28.0,South Korea,02-13-2020,0.0,7.0
2.0,Spain,02-13-2020,0.0,0.0
1.0,Sri Lanka,02-13-2020,0.0,1.0
1.0,Sweden,02-13-2020,0.0,0.0
18.0,Taiwan,02-13-2020,0.0,1.0
33.0,Thailand,02-13-2020,0.0,12.0
9.0,United Kingdom,02-13-2020,0.0,1.0
15.0,United States,02-13-2020,0.0,3.0
8.0,United Arab Emirates,02-13-2020,0.0,1.0
16.0,Vietnam,02-13-2020,0.0,7.0
15.0,Australia,02-14-2020,0.0,8.0
1.0,Belgium,02-14-2020,0.0,0.0
1.0,Cambodia,02-14-2020,0.0,1.0
7.0,Canada,02-14-2020,0.0,1.0
1.0,Egypt,02-14-2020,0.0,0.0
1.0,Finland,02-14-2020,0.0,1.0
11.0,France,02-14-2020,0.0,2.0
16.0,Germany,02-14-2020,0.0,1.0
56.0,Hong Kong,02-14-2020,1.0,1.0
3.0,India,02-14-2020,0.0,0.0
3.0,Italy,02-14-2020,0.0,0.0
29.0,Japan,02-14-2020,1.0,9.0
10.0,Macau,02-14-2020,0.0,3.0
66292.0,China,02-14-2020,1520.0,7973.0
19.0,Malaysia,02-14-2020,0.0,3.0
1.0,Nepal,02-14-2020,0.0,1.0
3.0,Philippines,02-14-2020,1.0,1.0
2.0,Russia,02-14-2020,0.0,2.0
67.0,Singapore,02-14-2020,0.0,17.0
28.0,South Korea,02-14-2020,0.0,7.0
2.0,Spain,02-14-2020,0.0,0.0
1.0,Sri Lanka,02-14-2020,0.0,1.0
1.0,Sweden,02-14-2020,0.0,0.0
18.0,Taiwan,02-14-2020,0.0,2.0
33.0,Thailand,02-14-2020,0.0,12.0
9.0,United Kingdom,02-14-2020,0.0,1.0
15.0,United States,02-14-2020,0.0,3.0
8.0,United Arab Emirates,02-14-2020,0.0,1.0
16.0,Vietnam,02-14-2020,0.0,7.0
15.0,Australia,02-15-2020,0.0,8.0
1.0,Belgium,02-15-2020,0.0,0.0
1.0,Cambodia,02-15-2020,0.0,1.0
7.0,Canada,02-15-2020,0.0,1.0
1.0,Egypt,02-15-2020,0.0,0.0
1.0,Finland,02-15-2020,0.0,1.0
12.0,France,02-15-2020,1.0,4.0
16.0,Germany,02-15-2020,0.0,1.0
56.0,Hong Kong,02-15-2020,1.0,1.0
3.0,India,02-15-2020,0.0,0.0
3.0,Italy,02-15-2020,0.0,0.0
43.0,Japan,02-15-2020,1.0,12.0
10.0,Macau,02-15-2020,0.0,3.0
68347.0,China,02-15-2020,1662.0,9294.0
22.0,Malaysia,02-15-2020,0.0,7.0
1.0,Nepal,02-15-2020,0.0,1.0
3.0,Philippines,02-15-2020,1.0,1.0
2.0,Russia,02-15-2020,0.0,2.0
72.0,Singapore,02-15-2020,0.0,18.0
28.0,South Korea,02-15-2020,0.0,9.0
2.0,Spain,02-15-2020,0.0,2.0
1.0,Sri Lanka,02-15-2020,0.0,1.0
1.0,Sweden,02-15-2020,0.0,0.0
18.0,Taiwan,02-15-2020,0.0,2.0
33.0,Thailand,02-15-2020,0.0,12.0
9.0,United Kingdom,02-15-2020,0.0,1.0
